id;code_client;nom_client;id_associe;distance_km
1;15696;L'HOSPITALIERE;1;9
2;15952;LINETTE;1;306
3;15978;LOPAM;6;166
4;16020;M2L;5;12
5;16041;MACBEC;3;72
6;16073;MALEINE;3;84
7;16095;MASSIF FRÈRES EXPLOITATION;4;118
8;16114;MAUPITI;2;132
9;16115;MARCAPAM;1;166
10;16131;TATIHOU;2;132
11;16328;MENAPHI;2;136
12;16631;MICHOT FRANCIS;4;24
13;16960;NATALE;5;102
14;16965;NATHALEXANDRE;5;136
15;16975;NORMANDIE CROISIERES;6;22
16;17068;NOVATICE TECHNOLOGIES;2;42
17;17070;SERDITECH;6;70
18;17105;A.L.PARTICIPATION;4;28
19;17195;P2RL;5;9
20;17210;PEINTURE FRAICHE;6;19
21;17215;PARISSAS;6;30
22;17218;PAUMAC;4;150
23;17221;W PHOTOGRAPHIC;2;38
24;17223;PATELLE;5;74
25;17340;PERTUIS;1;74
26;17500;PAUMARANE;5;166
27;17531;CHAVOUTIER BECKMANN;2;9
28;01753B;SELARL CMDB;3;0
29;17548;PIEROM;4;132
30;17620;PLUVINAGE IMMOBILIER;6;7
31;17650;PHAELLE;5;11
32;17668;POPRA;5;166
33;17673;SEDEM POSTEL;3;32
34;17680;DE LA POMELIE;1;7
35;17688;POLYINTELL;6;80
36;17876;QUENTIN;5;13
37;17976;RAPHPX;3;9
38;17979;RA LOU AD;3;9
39;18130;RIVE DROITE RIVE GAUCHE;4;28
40;18214;ROSE COTE INTERIEUR;2;66
41;18244;ROUMOISE DE DISTRIBUTION;1;74
42;18481;SANORD;2;56
43;18510;SALICOR;2;248
44;18513;SATEB;4;40
45;18514;BLOT INVEST;5;40
46;18636;M.C.F;5;26
47;18688;GACENT;6;9
48;18719;DE LA TOUR SAINT-ANDRE;2;10
49;18723;SISTEAL;6;11
50;18726;SESA SYSTEMS;4;62
51;18728;SEIMAR;5;72
52;18768;SERGELO;6;72
53;18840;SLOP NORMANDIE;6;22
54;18851;NORMANDY MOTORS;4;15
55;18899;64 RUE VERTE;2;7
56;19138;SUBLO;5;72
57;19145;SUZANNE;1;15
58;19147;SPFBA;5;11
59;19191;TANGUY;2;66
60;19192;L'OR DES PRES;3;8
61;19246;THIBAUT;4;15
62;19275;TL;5;6
63;11111;SECNO;1;0
